video_name,video_id,like_count,view_count,comment_count
Jonathan Drori: Why we're storing billions of seeds,r8Ff1Xj_-eM,565,49064,74
"Kaki King: Playing ""Pink Noise"" on guitar",TV5JBCBcCO0,2117,158110,299
Liz Coleman: A call to reinvent liberal arts education,syqScVtnKuU,604,56256,185
Ray Kurzweil: A university for the coming singularity,HMYVH-hBGWg,1047,87659,183
Yann Arthus-Bertrand: A wide-angle view of fragile Earth,wJxSRo564Dc,723,64299,85
Felix Dennis: Odes to vice and consequences,64-bHvDcgQQ,633,61053,87
Pete Alcorn: The world in 2200,VvQ_G24Zwek,248,33360,92
John La Grou: A plug for smart power outlets,3EvQGpQtX8o,216,12424,38
Kevin Surace: Eco-friendly drywall,aSCsNcqY1mk,198,15070,37
Nancy Etcoff: Happiness and its surprises,6W2dsnhC18Q,516,64927,88
Robert Full: Learning from the gecko's tail,d3syTrElgcg,718,50656,79
Richard St. John: Success is a continuous journey,CgNx9Bgac1I,4125,407963,77
Jane Poynter: Life in Biosphere 2,a7B39MLVeIc,3073,319519,291
Clay Shirky: How social media can make history,ASZJE15E0SY,2746,307870,481
Diane Benscoter: How cults rewire the brain,NL0uxDscjdo,3275,213652,753
"Catherine Mohr: Surgery's past, present and robotic future",fIICVeGW4RY,601,53874,69
Qi Zhang: An electrifying organ performance,iKorq7dE4gM,1037,124424,247
Philip Zimbardo: The psychology of time,bo4HiVetBd0,2064,155433,123
Paul Collier: New rules for rebuilding a broken nation,TvW4yugCPZo,375,34025,75
Katherine Fulton: You are the future of philanthropy,_mLeSPk3ddE,194,17452,20
Ray Zahab: My trek to the South Pole,sfIpMJwRFk8,265,27109,29
Arthur Benjamin: Teach statistics before calculus!,BhMKmovNjvc,2904,240204,258
Gever Tulley: Life lessons through tinkering,hvHViFc0ekw,837,81295,76
Daniel Libeskind: 17 words of architectural inspiration,G8w4UQL6aI0,1112,122540,104
Eames Demetrios: The design genius of Charles + Ray Eames,b0vDWqp6J7Y,2824,366164,112
Tom Wujec: 3 ways the brain creates meaning,wPFA8n7goio,823,120378,61
Sophal Ear: Escaping the Khmer Rouge,OyPGDBOqPFs,843,79258,90
Kary Mullis: A next-gen cure for killer infections,wJttdkKo4nM,2939,134292,598
Stewart Brand: 4 environmental 'heresies',TUxwiVFgghE,904,83347,258
Olafur Eliasson: Playing with space and light,WCGuG0uT6ks,2411,186449,125
Daniel Kraft: A better way to harvest bone marrow,Cj04JUBXe2E,381,29112,50
Jim Fallon: Exploring the mind of a killer,u2V0vOFexY4,12627,846279,575
Nina Jablonski: Skin color is an illusion,QOSPNVunyFQ,3873,327925,908
Gordon Brown: Wiring a web for global good,y7rrJAC84FA,6191,461372,1477
"Alain de Botton: A kinder, gentler philosophy of success",MtSE4rglxbY,42092,2048099,1096
Golan Levin: Art that looks back at you,1G0MzlfMPuM,778,57163,80
Elaine Morgan: I believe we evolved from aquatic apes,gwPoM7lGYHw,9974,446769,3072
Willard Wigan: Hold your breath for micro-sculpture,rBKV4rOgSJU,1813,170172,192
Michael Pritchard: How to make filthy water drinkable,rXepkIWPhFQ,22452,1968103,2355
Paul Romer: Why the world needs charter cities,mSHBma0Ithk,2759,163534,463
Janine Benyus: Biomimicry in action,k_GFq12w5WU,5486,324205,204
Emmanuel Jal: The music of a war child,nF_dHdNOgSA,3578,276646,276
Dan Pink: The puzzle of motivation,rrkrvAUbU9Y,119374,12054268,3560
Eric Giler: A demo of wireless electricity,y1GqNN2Xe7g,1014,87724,194
Hans Rosling: Let my dataset change your mindset,KVhWqwnZ1eM,1666,155660,96
Natasha Tsakos: A multimedia theatrical adventure,vlj9aPKB9m0,716,59724,102
"Cary Fowler: One seed at a time, protecting the future of food",Uwl012o8P7I,724,62298,83
Joshua Silver: Adjustable liquid-filled eyeglasses,tpKWHSsBpnE,508,47555,103
"Geoff Mulgan: Post-crash, investing in a better world",CGksAjzI0go,284,38210,89
Evan Grant: Making sound visible through cymatics,CsjV1gjBMbQ,4606,385298,294
Steve Truglia: A leap from the edge of space,eR22lqzdIHU,230,25340,84
James Balog: Time-lapse proof of extreme ice loss,yTDdY1UG7ug,657,75538,77
Lewis Pugh: How I swam the North Pole,HALd9FY5-VQ,1364,153534,207
Rebecca Saxe: How we read each other's minds,GOCUH7TxHRI,5092,564672,397
Vishal Vaid: Hypnotic South Asian improv music,X1dm_mBo81o,733,96922,123
Misha Glenny: How global crime networks work,XO1Me-MY-Q0,1394,140984,135
Bjarke Ingels: 3 warp-speed architecture tales,4AYE3w5TWHs,6809,551231,245
John Lloyd: An inventory of the invisible,BxFvxKa-mWo,1790,75900,140
Oliver Sacks: What hallucination reveals about our minds,SgOTaXhbqPQ,89392,5936755,4528
"Imogen Heap: ""Wait It Out""",Vvndzh78nf0,1380,148863,199
Jonathan Zittrain: The Web as random acts of kindness,P65XdTlk4vA,986,145123,102
Evgeny Morozov: How the Net aids dictatorships,-hFk6FDrZBc,723,60871,116
William Kamkwamba: How I harnessed the wind,crjU5hu2fag,4651,440152,244
Taryn Simon: Photographs of secret sites,jKl0tb3VmfQ,1165,103494,92
Jacqueline Novogratz: A third way to think about aid,x4m6j7rSyzY,434,57194,59
Parag Khanna: Mapping the future of countries,XRWTyUVh0BQ,6270,654080,1250
Tim Brown: Designers -- think big!,UAinLaT42xY,6547,708346,136
Karen Armstrong: Let's revive the Golden Rule,bhHJ4DRZNZM,1536,135324,500
Garik Israelian: How spectroscopy could reveal alien life,CVSitGynMLo,0,7,0
Stefan Sagmeister: The power of time off,MNuOmTQdFjA,4584,471632,123
Carolyn Steel: How food shapes our cities,CLWRclarri0,1139,180737,220
David Logan: Tribal leadership,xTkKSJSqU-I,3172,249782,456
Chimamanda Ngozi Adichie: The danger of a single story,D9Ihs241zeg,278021,14474683,11037
Beau Lotto: Optical illusions show how we see,mf5otGNbkuc,26064,3284391,2178
"Sam Martin: Claim your ""manspace""",j5M4S3k1VZM,2,323,0
Eric Sanderson: New York -- before the City,3z1cCT2NP4k,18959,1704376,1298
"David Hanson: Robots that ""show emotion""",wjW-v0IPT_M,674,188052,280
Rory Sutherland: Life lessons from an ad man,audakxABYUc,6453,461562,216
Henry Markram: A brain in a supercomputer,LS3wMC2BpxU,5631,513920,369
Julian Treasure: The 4 ways sound affects us,rRepnhXq33s,3798,384906,142
John Gerzema: The post-crisis consumer,ONXYcN-7k1Y,284,29108,59
Paul Debevec: Animating a photo-real digital face,r25lOeggxIw,103,12387,5
Itay Talgam: Lead like the great conductors,R9g3Q-qvtss,6474,729219,195
Marc Koska: 1.3m reasons to re-invent the syringe,9E3a0H-Xc_g,506,37240,127
Ian Goldin: Navigating our global future,kec8L642Y0I,213,55117,32
David Deutsch: A new way to explain explanation,folTvNDL08A,4228,215968,394
Rachel Armstrong: Architecture that repairs itself?,nAMrtHC2Ev0,611,65563,131
Becky  Blanton: The year I was homeless,KvvjDOtS2sw,870,98579,143
"Marcus du Sautoy: Symmetry, reality's riddle",1xlAaBrIxMs,240,39146,16
Matthew White: The modern euphonium,5APf07w4J2c,2604,541991,369
Stefana Broadbent: How the Internet enables intimacy,_Lk5nU8FrXo,578,120834,104
Cameron Sinclair: The refugees of boom-and-bust,Jm2dWbNsnZI,182,15228,30
Rachel Pike: The science behind a climate headline,jtRv4qouBEo,69,25620,19
Edward Burtynsky: Photographing the landscape of oil,BEsJI6Nxo4Q,307,44752,64
Cynthia Schneider: The surprising spread of Idol TV,8mPpe8AL21A,281,39822,71
Pranav Mistry: The thrilling potential of SixthSense technology,YrtANPtnhyg,49528,5408762,2765
Mathieu Lehanneur: Science-inspired design,GFivy8eFFBo,349,30185,43
Fields Wicker-Miurin: Learning from leadership's missing manual,SpTGUT-Fvf4,470,97925,30
Devdutt Pattanaik: East vs. West -- the myths that mystify,I7QwxbImhZI,12709,800040,816
Tom Wujec: Learn to use the 13th-century astrolabe,yioZhHe1i5M,1722,175124,317
Hans Rosling: Asia's rise -- how and when,fiK5-oAaeUs,4439,417565,465
Rob Hopkins: Transition to a world without oil,8meWY0W40OA,1497,176171,285
Magnus Larsson: Turning dunes into architecture,PXMJobWlXks,955,83618,114
Mallika Sarabhai: Dance to change the world,3LzX36s_hcs,1113,135867,173
Shashi Tharoor: Why nations should pursue soft power,EiTrl0W1QrM,23437,1187762,1444
Gordon Brown: Global ethic vs. national interest,mclzytQQMGI,442,49514,220
Andrea Ghez: The hunt for a supermassive black hole,c8re1U9rCo4,2948,118099,377
Anupam Mishra: The ancient ingenuity of water harvesting,eJCTAXb_BWs,1951,133409,85
Scott Kim: The art of puzzles,EHxR9kBVVV4,504,46223,35
Sunitha Krishnan: The fight against sex slavery,jeOumyTMCI8,6006,601731,476
Rory  Bremner: A one-man world summit,3XDdhbrg2kw,769,114148,51
Marc Pachter: The art of the interview,F_NEIwDiCSw,1088,135683,65
Thulasiraj Ravilla: How low-cost eye care can be world-class,b5QCM1_gVGA,299,42557,38
Shereen El Feki: Pop culture in the Arab world,ROgFmb3oTLo,1257,140459,535
Loretta Napoleoni: The intricate economics of terrorism,uXl-mKZ7aSc,652,57621,79
Ryan Lobo: Photographing the hidden story,7NJhq163t78,296,32788,29
Alexis Ohanian: How to make a splash in social media,tPgQsv2KPwc,1259,168684,90
Charles Anderson: Dragonflies that fly across oceans,WNDWYW4yWEM,590,42883,105
James Geary: Metaphorically speaking,2cU56SWXHFw,1638,142973,134
Shaffi Mather: A new way to fight corruption,tUAepQYyMY4,624,97455,120
Steven  Cowley: Fusion is energy's future,S6BLFdBfgfU,1126,116382,341
Asher Hasan: My message of peace from Pakistan,jxMvDpIeu9U,253,35181,54
Michael Sandel: What's the right thing to do?,kBdfcR-8hEY,441245,39683845,19074
Cat Laine: Engineering a better life for all,FEeTLopLkEo,53531,1859254,2289
Bertrand Piccard: My solar-powered adventure,lxYFURQ7Ehw,507,51062,121
Vilayanur Ramachandran: The neurons that shaped civilization,l80zgw07W4Y,2293,142866,86
Nick Veasey: Exposing the invisible,jguSkEMwrcc,543,57286,99
Dan Buettner: How to live to be 100+,ff40YiMmVkU,9898,864826,508
Romulus Whitaker: The real danger lurking in the water,vW99KFD-Bk8,752,60321,121
Herbie Hancock: An all-star set,o8sv3pbCJTs,1312,196298,153
Randy Pausch: Really achieving your childhood dreams,ji5_MqicxSo,149924,21878466,7026
Robert Sapolsky: The uniqueness of humans,ORthzIOEf30,37912,1070855,1076
Matt Weinstein: What Bernie Madoff couldn't steal from me,dIbkqUm_xKk,229,77770,22
"Kartick Satyanarayan: How we rescued the ""dancing"" bears""",pZni9Kx9Jfw,555,48891,87
"Kiran Sethi: Kids, take charge",7Y2sj_G4Njg,697,86233,51
"Lalitesh Katragadda: Making maps to fight disaster, build economies",p_p-Ex5KR4g,207,36951,17
Edwidge Danticat: Stories of Haiti,q7lfSjjMNU8,16124,625245,757
Charles Fleischer: All things are Moleeds,UcnYqyQyHd8,917,68115,104
David Blaine: How I held my breath for 17 minutes,XFnGhrC_3Gs,341102,22613788,24514
Ravin Agrawal: 10 young Indian artists to watch,S4rBC2lRmY0,2705,36566,37
Anthony Atala: Growing new organs,7SfRgg9botI,2818,341241,314
"Sivamani: Rhythm is everything, everywhere",2UphAzryVpY,85393,2471516,2100
Richard Dawkins: Growing up in the universe,1APOxsp1VFw,23754,1852093,4998
Taylor Mali: What teachers make,RGKm201n-U4,10749,1043496,348
Bill Davenhall: Your health depends on where you live,62cNtvx6P8E,597,86615,118
Joshua Prince-Ramus: Building a theater that remakes itself,LHHlPnfOtRo,386,48217,27
Eve Ensler: Embrace your inner girl,YhG1Bgbsj2w,2772,212902,554
Jane Chen: A warm embrace that saves lives,lL3qzjKkirs,362,57545,10
"Derek Sivers: Weird, or just different?",1K5SycZjGhI,5460,665970,189
JK Rowling: The fringe benefits of failure,YkyD8sEf2kw,0,230,1
Sendhil Mullainathan: Solving social problems with a nudge,XBJQENjZJaA,617,71169,44
Jamie Heywood: The big idea my brother inspired,WQ2PFoHptK8,457,45990,56
George Whitesides: A lab the size of a postage stamp,g6GaWlQGbfQ,37,2567,0
David Agus: A new strategy in the war on cancer,IRxgDMSp9Gs,631,76887,103
"Tom Shannon, John Hockenberry: The painter and the pendulum",OPA-rQyKeLY,478,77206,63
Peter Eigen: How to expose the corrupt,XkiXXP_hycA,1371,69993,171
Jamie Oliver: Teach every child about food,go_QOzc79Uc,31070,2414812,1868
Blaise Agüera y Arcas: Augmented-reality maps,NCPzji_-2Oo,564,44397,115
David Cameron: The next age of government,3ELnyoso6vI,1240,130157,304
Aimee Mullins: The opportunity of adversity,dTwXeZ4GkzI,4616,657873,402
Bill Gates: Innovating to zero!,JaF-fq2Zn7I,40098,4599655,23035
Kevin Kelly: Technology's epic story,y97hd9voaJE,45,3358,1
Philip K. Howard: Four ways to fix a broken legal system,IWdzrZdRa38,1157,65854,169
Eric Topol: The wireless future of medicine,pTZM9X3JfTk,389,50442,56
Temple Grandin: The world needs all kinds of minds,UKhg68QJlo0,9155,682777,416
